document,document_file_path,policy_id,employment_category,min_income_egp
This policy applies to Salaried (Public Sector) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 18.05% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_134.txt,POL-134,Salaried (Public Sector),7000
This policy applies to Expat (Remittance) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.72% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_135.txt,POL-135,Expat (Remittance),40000
This policy applies to Corporate (Local LLC) applicants purchasing New Only vehicles. The interest rate is set at 15.36% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_136.txt,POL-136,Corporate (Local LLC),25000
This policy applies to Freelancer (Tech) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 22.39% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_137.txt,POL-137,Freelancer (Tech),40000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.81% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_138.txt,POL-138,Salaried (Private),5000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 22.96% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_139.txt,POL-139,Freelancer (Creative),10000
This policy applies to Self-Employed (Commercial) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 18.09% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_140.txt,POL-140,Self-Employed (Commercial),7000
This policy applies to Corporate (Multinational) applicants purchasing New Only vehicles. The interest rate is set at 14.06% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_141.txt,POL-141,Corporate (Multinational),5000
This policy applies to Salaried (Public Sector) applicants purchasing New Only vehicles. The interest rate is set at 16.1% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_142.txt,POL-142,Salaried (Public Sector),25000
This policy applies to Freelancer (Creative) applicants purchasing New Only vehicles. The interest rate is set at 18.53% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_143.txt,POL-143,Freelancer (Creative),40000
This policy applies to Corporate (Local LLC) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.79% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_144.txt,POL-144,Corporate (Local LLC),10000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 13.33% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_145.txt,POL-145,Corporate (Multinational),5000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.32% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_146.txt,POL-146,Salaried (Public Sector),25000
This policy applies to Self-Employed (Commercial) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.34% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_147.txt,POL-147,Self-Employed (Commercial),5000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 17.53% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_148.txt,POL-148,Corporate (Multinational),10000
This policy applies to Salaried (Public Sector) applicants purchasing New Only vehicles. The interest rate is set at 15.65% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_149.txt,POL-149,Salaried (Public Sector),15000
This policy applies to Corporate (Local LLC) applicants purchasing New Only vehicles. The interest rate is set at 16.25% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_150.txt,POL-150,Corporate (Local LLC),15000
This policy applies to Salaried (Public Sector) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 13.67% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_151.txt,POL-151,Salaried (Public Sector),25000
This policy applies to Self-Employed (Commercial) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.71% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_152.txt,POL-152,Self-Employed (Commercial),5000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.78% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_153.txt,POL-153,Corporate (Multinational),5000
This policy applies to Expat (Remittance) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.26% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_154.txt,POL-154,Expat (Remittance),25000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.06% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_155.txt,POL-155,Salaried (Private),40000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.04% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_156.txt,POL-156,Corporate (Multinational),5000
This policy applies to Self-Employed (Commercial) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 19.34% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_157.txt,POL-157,Self-Employed (Commercial),5000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 22.27% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_158.txt,POL-158,Freelancer (Creative),15000
This policy applies to Self-Employed (Professional) applicants purchasing New Only vehicles. The interest rate is set at 18.36% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_159.txt,POL-159,Self-Employed (Professional),25000
This policy applies to Corporate (Multinational) applicants purchasing New Only vehicles. The interest rate is set at 16.04% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_160.txt,POL-160,Corporate (Multinational),15000
This policy applies to Salaried (Public Sector) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 13.21% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_161.txt,POL-161,Salaried (Public Sector),7000
This policy applies to Self-Employed (Commercial) applicants purchasing New Only vehicles. The interest rate is set at 20.33% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_162.txt,POL-162,Self-Employed (Commercial),15000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.45% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_163.txt,POL-163,Corporate (Multinational),7000
This policy applies to Freelancer (Tech) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 18.05% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_164.txt,POL-164,Freelancer (Tech),7000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.18% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_165.txt,POL-165,Corporate (Multinational),10000
This policy applies to Corporate (Multinational) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 14.95% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_166.txt,POL-166,Corporate (Multinational),25000
This policy applies to Freelancer (Tech) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 22.21% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_167.txt,POL-167,Freelancer (Tech),7000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 20.87% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_168.txt,POL-168,Freelancer (Creative),7000
This policy applies to Expat (Remittance) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.18% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_169.txt,POL-169,Expat (Remittance),5000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.61% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_170.txt,POL-170,Corporate (Multinational),7000
This policy applies to Self-Employed (Commercial) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.64% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_171.txt,POL-171,Self-Employed (Commercial),15000
This policy applies to Retired / Pensioner applicants purchasing New Only vehicles. The interest rate is set at 16.05% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_172.txt,POL-172,Retired / Pensioner,25000
This policy applies to Self-Employed (Professional) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 17.25% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_173.txt,POL-173,Self-Employed (Professional),15000
This policy applies to Self-Employed (Professional) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.16% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_174.txt,POL-174,Self-Employed (Professional),40000
This policy applies to Salaried (Private) applicants purchasing New Only vehicles. The interest rate is set at 15.73% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_175.txt,POL-175,Salaried (Private),10000
This policy applies to Expat (Remittance) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.54% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_176.txt,POL-176,Expat (Remittance),40000
This policy applies to Salaried (Public Sector) applicants purchasing New Only vehicles. The interest rate is set at 15.69% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_177.txt,POL-177,Salaried (Public Sector),40000
This policy applies to Salaried (Public Sector) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.25% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_178.txt,POL-178,Salaried (Public Sector),7000
This policy applies to Retired / Pensioner applicants purchasing New Only vehicles. The interest rate is set at 16.02% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_179.txt,POL-179,Retired / Pensioner,25000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 20.1% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_180.txt,POL-180,Freelancer (Creative),40000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 18.79% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_181.txt,POL-181,Corporate (Multinational),15000
This policy applies to Salaried (Public Sector) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.28% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_182.txt,POL-182,Salaried (Public Sector),15000
This policy applies to Retired / Pensioner applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 18.26% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_183.txt,POL-183,Retired / Pensioner,5000
This policy applies to Salaried (Private) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.49% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_184.txt,POL-184,Salaried (Private),15000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.11% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_185.txt,POL-185,Salaried (Public Sector),5000
This policy applies to Expat (Remittance) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 14.36% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_186.txt,POL-186,Expat (Remittance),7000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.49% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_187.txt,POL-187,Salaried (Private),15000
This policy applies to Expat (Remittance) applicants purchasing New Only vehicles. The interest rate is set at 15.98% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_188.txt,POL-188,Expat (Remittance),15000
This policy applies to Salaried (Public Sector) applicants purchasing New Only vehicles. The interest rate is set at 14.26% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_189.txt,POL-189,Salaried (Public Sector),7000
This policy applies to Self-Employed (Professional) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 19.74% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_190.txt,POL-190,Self-Employed (Professional),15000
This policy applies to Freelancer (Tech) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 19.77% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_191.txt,POL-191,Freelancer (Tech),40000
This policy applies to Retired / Pensioner applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 17.56% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_192.txt,POL-192,Retired / Pensioner,40000
This policy applies to Self-Employed (Commercial) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 22.02% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_193.txt,POL-193,Self-Employed (Commercial),5000
This policy applies to Freelancer (Tech) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 19.26% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_194.txt,POL-194,Freelancer (Tech),25000
This policy applies to Salaried (Public Sector) applicants purchasing New Only vehicles. The interest rate is set at 16.98% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_195.txt,POL-195,Salaried (Public Sector),40000
This policy applies to Self-Employed (Commercial) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 21.34% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_196.txt,POL-196,Self-Employed (Commercial),40000
This policy applies to Self-Employed (Commercial) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 19.16% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_197.txt,POL-197,Self-Employed (Commercial),5000
This policy applies to Retired / Pensioner applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.09% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_198.txt,POL-198,Retired / Pensioner,5000
This policy applies to Freelancer (Tech) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 19.03% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_199.txt,POL-199,Freelancer (Tech),15000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.91% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_200.txt,POL-200,Salaried (Public Sector),40000
